Profile,State,Exempt,Description,Status,Category,Classification,Type
New York Datacenter,Monitor,True,Establish and maintain identification mechanism termination procedures.,Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
New York Datacenter,Monitor,False,Review facility access lists.,Not Applicable,Physical and environmental protection,Detective,Establish/Maintain Documentation
New York Datacenter,Monitor,False,"Manage access to loading docks, unloading docks, and mail rooms.",Compliant,Physical and environmental protection,Preventive,Physical and Environmental Protection
New York Datacenter,Monitor,False,Establish and maintain a visitor access permissions policy.,Not Applicable,Physical and environmental protection,Preventive,Establish/Maintain Documentation
New York Datacenter,Monitor,False,"Use locks with electronic authentication systems or cipher locks, as necessary.",Compliant,Physical and environmental protection,Preventive,Configuration
New York Datacenter,Monitor,False,Monitor for unauthorized physical access at physical entry points.,Not Applicable,Physical and environmental protection,Detective,Monitor and Evaluate Occurrences
New York Datacenter,Monitor,False,Establish and maintain identification procedures.,Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
New York Datacenter,Monitor,False,Establish and maintain identification issuance procedures for identification cards or badges.,Not Applicable,Physical and environmental protection,Preventive,Establish/Maintain Documentation
New York Datacenter,Monitor,False,Use locks to protect against unauthorized physical access.,Compliant,Physical and environmental protection,Preventive,Physical and Environmental Protection
New York Datacenter,Monitor,False,Secure physical entry points with physical access controls or security guards.,Not Applicable,Physical and environmental protection,Detective,Physical and Environmental Protection
New York Datacenter,Monitor,False,Authorize visitors before granting entry to physical areas containing restricted data or restricted information.,Compliant,Physical and environmental protection,Preventive,Testing
New York Datacenter,Monitor,False,Control physical access to (and within) the facility.,Not Applicable,Physical and environmental protection,Preventive,Physical and Environmental Protection
New York Datacenter,Monitor,False,Escort uncleared personnel who need to work in or access secure areas.,Compliant,Physical and environmental protection,Preventive,Monitor and Evaluate Occurrences
New York Datacenter,Monitor,False,Identify and document physical access controls for all physical entry points.,Not Applicable,Physical and environmental protection,Preventive,Establish/Maintain Documentation
New York Datacenter,Monitor,False,"Escort visitors within the facility, as necessary.",Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
New York Datacenter,Attest,False,Manage visitor identification inside the facility.,,Physical and environmental protection,Preventive,Physical and Environmental Protection
New York Datacenter,Monitor,False,Maintain and review facility access lists of personnel who have been granted authorized entry to (and within) facilities that contain restricted data or restricted information.,Compliant,Physical and environmental protection,Preventive,Establish/Maintain Documentation
New York Datacenter,Attest,True,Document the continuity plan exercise test results and provide them to senior management.,Compliant,Systems continuity,Preventive,Actionable Reports or Measurements
New York Datacenter,Attest,False,Transport backup media in lockable electronic media storage containers.,Not Applicable,Systems continuity,Preventive,Data and Information Management
New York Datacenter,Attest,False,Separate the off-site electronic media storage facilities from the primary facility through geographic separation.,Compliant,Systems continuity,Detective,Testing
New York Datacenter,Attest,False,Separate the alternate facility from the primary facility through geographic separation.,Not Applicable,Systems continuity,Preventive,Physical and Environmental Protection
New York Datacenter,Attest,False,Install a generator sized to support the facility.,Compliant,Systems continuity,Preventive,Configuration
New York Datacenter,Attest,False,Configure the alternate facility to meet the least needed operational capabilities.,,Systems continuity,Preventive,Configuration
New York Datacenter,Attest,False,Designate an alternate facility in the continuity plan.,Compliant,Systems continuity,Detective,Establish/Maintain Documentation
New York Datacenter,Attest,False,Review the alternate facility preparation procedures.,,Systems continuity,Detective,Systems Continuity
New York Datacenter,Attest,False,Establish and maintain Service Level Agreements for all alternate facilities.,Compliant,Systems continuity,Preventive,Establish/Maintain Documentation
New York Datacenter,Attest,False,Include damaged site continuity procedures that cover continuing operations in a partially functional primary facility in the continuity plan.,Not Applicable,Systems continuity,Preventive,Establish/Maintain Documentation
New York Datacenter,Attest,False,Store backup media at an off-site electronic media storage facility.,Compliant,Systems continuity,Preventive,Data and Information Management
New York Datacenter,Attest,False,Prepare the alternate facility for an emergency offsite relocation.,Not Applicable,Systems continuity,Preventive,Systems Continuity
New York Datacenter,Attest,False,Test the continuity plan at the alternate facility.,Compliant,Systems continuity,Detective,Testing
New York Datacenter,Attest,False,Outline explicit mitigation actions for facility accessibility issues that might take place when an area-wide disruption occurs or an area-wide disaster occurs.,,Systems continuity,Preventive,Establish/Maintain Documentation
SAP Financial Accounting,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Retail Adding Points,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Retail,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Electronic Messaging,Monitor,False,Manage change requests.,Non Compliant,Operational management,Preventive,Business Processes
Outlook Web Access (OWA),Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
SAP Human Resources,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Supply Chain Management,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Bond Trading - DR,Monitor,False,Manage change requests.,Non Compliant,Operational management,Preventive,Business Processes
Bond Trading,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Portals,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Jobvite Enterprise Recruitment Services,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
SAP Enterprise Services,Monitor,False,Manage change requests.,Non Compliant,Operational management,Preventive,Business Processes
SAP Sales and Distribution,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Retail Client Lookup,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
IT Services,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
SAP Plant Maintenance,Monitor,False,Manage change requests.,Non Compliant,Operational management,Preventive,Business Processes
PeopleSoft HRMS,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Sales Force Automation,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft CRM,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Securities Lending,Monitor,False,Manage change requests.,Non Compliant,Operational management,Preventive,Business Processes
PeopleSoft Reporting,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Windows Mobile,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
SAP Labor Distribution,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
SAP Controlling,Monitor,False,Manage change requests.,Non Compliant,Operational management,Preventive,Business Processes
Retail Client Registration,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Financials,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
ServiceNow Enterprise Services,Attest,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Enterprise Services,Monitor,False,Manage change requests.,Non Compliant,Operational management,Preventive,Business Processes
Client Services,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Retail POS (Point of Sale),Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Email,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
Blackberry,Monitor,False,Manage change requests.,Non Compliant,Operational management,Preventive,Business Processes
SAP Payroll,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
SAP Materials Management,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Governance,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Asset Lifecycle Management,Monitor,False,Manage change requests.,Non Compliant,Operational management,Preventive,Business Processes
Workday Enterprise Services,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
E-Commerce,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
OpenText Enterprise Services,Monitor,False,Manage change requests.,Compliant,Operational management,Preventive,Business Processes
This Service-now instance,Monitor,False,Manage change requests.,Non Compliant,Operational management,Preventive,Business Processes
